Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
54257458,The Comeback Quotient: A Get-Real Guide to Building Mental Fitness in Sport and Life,Matt Fitzgerald,"Fitzgerald, Matt",,"=""1948007169""","=""9781948007160""",0,4.22,,Paperback,,2020,,,2021/03/10,to-read,to-read (#173),to-read,,,,0,,,0,,,,,
26047703,How Bad Do You Want It?: Mastering the Psychology of Mind Over Muscle,Matt Fitzgerald,"Fitzgerald, Matt",,"=""1937715418""","=""9781937715410""",0,4.12,VeloPress,Paperback,265,2015,2015,,2021/03/10,to-read,to-read (#172),to-read,,,,0,,,0,,,,,
118962,La nuit sera calme,Romain Gary,"Gary, Romain",,"=""2070367193""","=""9782070367191""",0,4.05,Gallimard,Paperback,264,1976,1974,,2021/03/09,to-read,to-read (#171),to-read,,,,0,,,0,,,,,
1393712,Le Joueur d'échecs,Stefan Zweig,"Zweig, Stefan","Brigitte Vergne-Cain, Gérard Rudent","=""""","=""""",5,4.29,Le Livre de Poche,Paperback,128,2013,1942,2021/03/08,2021/03/03,,,read,,,,1,,,0,,,,,
55361205,A Promised Land,Barack Obama,"Obama, Barack",,"=""""","=""""",5,4.40,Crown,Kindle Edition,768,2020,2020,2021/03/04,2020/11/23,,,read,,,,1,,,0,,,,,
38315,Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""0812975219""","=""9780812975215""",0,4.07,Random House Trade Paperbacks,Paperback,368,2005,2001,,2021/02/28,to-read,to-read (#170),to-read,,,,0,,,0,,,,,
55539565,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"Grant, Adam M.",,"=""""","=""9781984878106""",5,4.30,Viking Books,Hardcover,307,2021,2021,2021/02/24,2021/02/18,,,read,,,,1,,,0,,,,,
9778945,The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,"Carr, Nicholas",,"=""0393339750""","=""9780393339758""",0,3.89,W. W. Norton  Company,Paperback,280,2011,2010,,2021/02/23,to-read,to-read (#169),to-read,,,,0,,,0,,,,,
34812393,Les Echecs pour les nuls,James Eade,"Eade, James",Vincent MORET,"=""2754018700""","=""9782754018708""",0,3.81,Editions Générales First,Paperback,,2010,1996,,2021/02/18,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
8034188,Where Good Ideas Come from: The Natural History of Innovation,Steven Johnson,"Johnson, Steven",,"=""1594487715""","=""9781594487712""",0,4.03,Riverhead Books,Hardcover,326,2010,2010,,2021/02/12,to-read,to-read (#168),to-read,,,,0,,,0,,,,,
7641110,Life Is What You Make It: Find Your Own Path to Fulfillment,Peter Buffett,"Buffett, Peter",,"=""0307464717""","=""9780307464712""",0,3.78,Crown Archetype,Hardcover,272,2010,2010,,2021/02/11,to-read,to-read (#167),to-read,,,,0,,,0,,,,,
50772888,No Filter: The Inside Story of Instagram,Sarah Frier,"Frier, Sarah",,"=""1982126809""","=""9781982126803""",5,4.12,Simon & Schuster,Hardcover,352,2020,2020,2021/02/11,2021/02/08,,,read,,,,1,,,0,,,,,
359194,The Lucifer Effect: Understanding How Good People Turn Evil,Philip G. Zimbardo,"Zimbardo, Philip G.",,"=""1400064112""","=""9781400064113""",0,3.91,Random House (NY),Hardcover,551,2007,2007,,2021/02/09,to-read,to-read (#166),to-read,,,,0,,,0,,,,,
37880811,Make Time: How to Focus on What Matters Every Day,Jake Knapp,"Knapp, Jake",John Zeratsky,"=""0525572422""","=""9780525572428""",4,4.08,Currency,Hardcover,287,2018,2018,2021/02/07,2021/01/23,,,read,,,,1,,,0,,,,,
38242135,"AI Superpowers: China, Silicon Valley, and the New World Order",Kai-Fu Lee,"Lee, Kai-Fu",,"=""132854639X""","=""9781328546395""",0,4.15,Houghton Mifflin Harcourt,Hardcover,255,2018,2018,,2021/02/07,to-read,to-read (#165),to-read,,,,0,,,0,,,,,
